global_step,event,episode_return,episode_length,alpha,hover_reward_value,replay_size,critic_loss,actor_loss,logp,alpha_loss
43688,episode_end,-53.627076577646406,1000,0.19385820221173533,200.0,,,,,
44000,train_step,,,0.19757243470064498,200.0,44000,284.21728515625,-9.96852970123291,1.8380706310272217,-0.2625926733016968
44688,episode_end,-25.10969856892744,1000,0.21410309255534823,200.0,,,,,
45000,train_step,,,0.21313450346931345,200.0,45000,61.701271057128906,-1.2407795190811157,2.0796170234680176,0.12307460606098175
45688,episode_end,102.96590218782899,1000,0.2102190710556243,200.0,,,,,
45819,episode_end,213.5383716392526,131,0.2091118081008753,200.0,,,,,
45936,episode_end,146.6822105576342,117,0.21155006505625615,200.0,,,,,
46000,train_step,,,0.21059765103411593,200.0,46000,59.4509162902832,-13.516679763793945,2.023421287536621,0.0364859439432621
46936,episode_end,132.2772203099126,1000,0.20101387971004042,200.0,,,,,
47000,train_step,,,0.20050503949225193,200.0,47000,64.50009155273438,-1.09226393699646,2.1265904903411865,0.2034202218055725
47136,episode_end,21.58963142062717,200,0.20128323004000964,200.0,,,,,
47278,episode_end,182.3626918098372,142,0.20113583162450807,200.0,,,,,
47396,episode_end,241.98404562173062,118,0.2012551713431466,200.0,,,,,
48000,train_step,,,0.19464973329013513,200.0,48000,186.57815551757812,10.347391128540039,2.190312385559082,0.3114563226699829
48396,episode_end,133.85339004266098,1000,0.19635788260616144,200.0,,,,,
49000,train_step,,,0.19104309111555984,200.0,49000,32.55872344970703,-15.457868576049805,2.1249547004699707,0.20683197677135468
49396,episode_end,165.53146224665304,1000,0.1877244077096293,200.0,,,,,
49514,episode_end,220.85868723502278,118,0.18859982243106824,200.0,,,,,
50000,train_step,,,0.18928760731330624,200.0,50000,38.13805389404297,-7.328780174255371,1.8426694869995117,-0.2618746757507324
50514,episode_end,123.0800530493799,1000,0.18595000870829553,200.0,,,,,
50632,episode_end,239.36608115502344,118,0.1838627259358278,200.0,,,,,
50788,episode_end,188.8089755178533,156,0.1807071313791725,200.0,,,,,
50934,episode_end,241.8578697267721,146,0.18074388129561011,200.0,,,,,
51000,train_step,,,0.17905595008777098,200.0,51000,73.2037353515625,-2.164942502975464,1.9462177753448486,-0.092508465051651
51067,episode_end,192.39935521868762,133,0.1789754607896296,200.0,,,,,
51202,episode_end,199.28205800067116,135,0.1788979854947399,200.0,,,,,
51326,episode_end,208.86225528274974,124,0.18204323715196655,200.0,,,,,
51462,episode_end,204.01865082052575,136,0.1801048864434167,200.0,,,,,
51700,episode_end,223.25083188107942,238,0.1762000903936778,200.0,,,,,
51839,episode_end,233.00067458775783,139,0.17574461447716955,200.0,,,,,
51985,episode_end,218.83684439529418,146,0.1754695380182522,200.0,,,,,
52000,train_step,,,0.17518031710201315,200.0,52000,30.557613372802734,3.183940887451172,1.7203477621078491,-0.4871372580528259
52177,episode_end,252.904691032602,192,0.17412784939766568,200.0,,,,,
52318,episode_end,189.0611772480944,141,0.17346745338659483,200.0,,,,,
52447,episode_end,197.96669549259707,129,0.17178252042657494,200.0,,,,,
52554,episode_end,224.72554188037634,107,0.17017699117201723,200.0,,,,,
53000,train_step,,,0.17380175984718713,200.0,53000,331.7890625,-1.0068953037261963,2.020448684692383,0.03578166663646698
53554,episode_end,96.76036555755825,1000,0.1699727152386399,200.0,,,,,
54000,train_step,,,0.1679279200559063,200.0,54000,26.137474060058594,-12.359210014343262,1.9554517269134521,-0.07948397099971771
54554,episode_end,178.29626570054558,1000,0.17015063800048488,200.0,,,,,
55000,train_step,,,0.16804375090410886,200.0,55000,32.539329528808594,6.823173999786377,2.070408344268799,0.12557563185691833
55554,episode_end,207.81290955625875,1000,0.16962963598685438,200.0,,,,,
56000,train_step,,,0.16618161360890485,200.0,56000,47.38174057006836,-2.62227201461792,1.8714964389801025,-0.23062196373939514
56554,episode_end,176.11033039309746,1000,0.15808881475324768,200.0,,,,,
57000,train_step,,,0.16043401522410097,200.0,57000,65.51155853271484,6.348224639892578,2.017932176589966,0.03281329572200775
57554,episode_end,193.76778284549533,1000,0.1599638293516366,200.0,,,,,
58000,train_step,,,0.159193097598964,200.0,58000,143.38916015625,0.12016057968139648,1.9145610332489014,-0.15700602531433105
58554,episode_end,185.48906546769058,1000,0.1600017796419311,200.0,,,,,
59000,train_step,,,0.15985037801004673,200.0,59000,68.82904052734375,-1.264357089996338,2.0142335891723633,0.026097111403942108
59554,episode_end,179.44183952178224,1000,0.16088696778287528,200.0,,,,,
60000,train_step,,,0.1591022946553605,200.0,60000,43.38334655761719,-4.9480180740356445,2.2048628330230713,0.3765803873538971
60554,episode_end,201.68585028779367,1000,0.15625712291161023,200.0,,,,,
61000,train_step,,,0.15833077491966827,200.0,61000,183.92791748046875,-5.3859052658081055,2.2054667472839355,0.3786894679069519
61554,episode_end,141.88696594990128,1000,0.15823523983062351,200.0,,,,,
61712,episode_end,237.94621332768338,158,0.1560439915874879,200.0,,,,,
62000,train_step,,,0.1547765768127786,200.0,62000,30.941444396972656,2.5893664360046387,2.1299335956573486,0.24242621660232544
62712,episode_end,-26.100216237312235,1000,0.14933314634488298,200.0,,,,,
63000,train_step,,,0.1501816413578459,200.0,63000,29.896743774414062,-6.826661586761475,1.9629884958267212,-0.07017037272453308
63712,episode_end,137.84688691271748,1000,0.15537653105134663,200.0,,,,,
64000,train_step,,,0.15594407868270418,200.0,64000,33.3687858581543,3.0097625255584717,2.130160331726074,0.24187177419662476
64712,episode_end,192.18954595567078,1000,0.15857824913454144,200.0,,,,,
65000,train_step,,,0.154693575477049,200.0,65000,183.3311767578125,6.824875831604004,1.8573613166809082,-0.26620781421661377
65712,episode_end,153.8584882478999,1000,0.15244397022146233,200.0,,,,,
66000,train_step,,,0.15132546749134337,200.0,66000,35.49247360229492,-4.511549949645996,2.087599754333496,0.16541673243045807
